MOV.A
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
0.00141842
