Turbine.rpm;Nozzle.A;Turbine.M_2
13000;0.2304;3.30482
13000;0.2362;3.33869
13000;0.242;3.37087
13000;0.2478;3.40145
13000;0.2536;3.43054
13000;0.2594;3.45822
13000;0.2652;3.48457
13000;0.271;3.50968
13000;0.2768;3.53361
13000;0.2826;3.55643
13000;0.2884;3.57821
13000;0.2942;3.599
13000;0.3;3.61885
15000;0.01;0.380966
15000;0.0158;0.535563
15000;0.0216;0.671721
15000;0.0274;0.797659
15000;0.0332;0.918225
15000;0.039;1.03605
15000;0.0448;1.1422
15000;0.0506;1.23644
15000;0.0564;1.32152
15000;0.0622;1.39931
15000;0.068;1.47115
15000;0.0738;1.53807
15000;0.0796;1.60083
15000;0.0854;1.66002
15000;0.0912;1.71612
15000;0.097;1.76953
15000;0.1028;1.82055
15000;0.1086;1.86946
15000;0.1144;1.91647
15000;0.1202;1.96178
15000;0.126;2.00555
15000;0.1318;2.04791
15000;0.1376;2.08899
15000;0.1434;2.12889
15000;0.1492;2.16771
15000;0.155;2.20553
15000;0.1608;2.24243
15000;0.1666;2.27847
15000;0.1724;2.31371
15000;0.1782;2.3482
15000;0.184;2.38112
15000;0.1898;2.41182
15000;0.1956;2.44047
15000;0.2014;2.46725
15000;0.2072;2.49231
15000;0.213;2.51579
15000;0.2188;2.53781
15000;0.2246;2.55848
15000;0.2304;2.57791
15000;0.2362;2.59618
15000;0.242;2.6134
15000;0.2478;2.62962
15000;0.2536;2.64493
15000;0.2594;2.65939
15000;0.2652;2.67305
15000;0.271;2.68598
15000;0.2768;2.69823
15000;0.2826;2.70983
15000;0.2884;2.72083
15000;0.2942;2.73128
15000;0.3;2.7412
17000;0.01;0.3981
17000;0.0158;0.549562
17000;0.0216;0.678745
17000;0.0274;0.794387
17000;0.0332;0.901167
17000;0.039;1.00195
17000;0.0448;1.09362
17000;0.0506;1.17428
17000;0.0564;1.24647
17000;0.0622;1.31191
17000;0.068;1.37184
17000;0.0738;1.4272
17000;0.0796;1.4787
17000;0.0854;1.52689
17000;0.0912;1.57221
17000;0.097;1.61502
17000;0.1028;1.65562
17000;0.1086;1.69424
17000;0.1144;1.7311
17000;0.1202;1.76636
17000;0.126;1.80019
17000;0.1318;1.8327
17000;0.1376;1.86401
17000;0.1434;1.89422
17000;0.1492;1.92341
17000;0.155;1.95167
17000;0.1608;1.97905
17000;0.1666;2.00562
17000;0.1724;2.03143
17000;0.1782;2.05654
17000;0.184;2.08035
17000;0.1898;2.10243
17000;0.1956;2.12292
17000;0.2014;2.14197
17000;0.2072;2.1597
17000;0.213;2.17624
17000;0.2188;2.19168
17000;0.2246;2.20612
17000;0.2304;2.21964
17000;0.2362;2.2323
17000;0.242;2.24419
17000;0.2478;2.25536
17000;0.2536;2.26586
17000;0.2594;2.27575
17000;0.2652;2.28507
17000;0.271;2.29387
17000;0.2768;2.30217
17000;0.2826;2.31003
17000;0.2884;2.31746
17000;0.2942;2.3245
17000;0.3;2.33117
19000;0.01;0.418617
19000;0.0158;0.568252
19000;0.0216;0.692449
19000;0.0274;0.800818
19000;0.0332;0.898321
19000;0.039;0.987889
19000;0.0448;1.06902
19000;0.0506;1.14006
19000;0.0564;1.20327
19000;0.0622;1.26025
19000;0.068;1.31216
19000;0.0738;1.35985
19000;0.0796;1.40398
19000;0.0854;1.44507
19000;0.0912;1.48352
19000;0.097;1.51968
19000;0.1028;1.5538
19000;0.1086;1.58612
19000;0.1144;1.61682
19000;0.1202;1.64608
19000;0.126;1.67402
19000;0.1318;1.70076
19000;0.1376;1.72641
19000;0.1434;1.75106
19000;0.1492;1.77479
19000;0.155;1.79767
19000;0.1608;1.81975
19000;0.1666;1.84111
19000;0.1724;1.86178
19000;0.1782;1.88181
19000;0.184;1.90075
19000;0.1898;1.91824
19000;0.1956;1.93443
19000;0.2014;1.94944
19000;0.2072;1.96338
19000;0.213;1.97634
19000;0.2188;1.98841
19000;0.2246;1.99967
19000;0.2304;2.01019
19000;0.2362;2.02003
19000;0.242;2.02925
19000;0.2478;2.03789
19000;0.2536;2.04601
19000;0.2594;2.05364
19000;0.2652;2.06082
19000;0.271;2.06759
19000;0.2768;2.07397
19000;0.2826;2.07999
19000;0.2884;2.08569
19000;0.2942;2.09107
19000;0.3;2.09618
21000;0.01;0.442377
21000;0.0158;0.59118
21000;0.0216;0.711805
21000;0.0274;0.814881
21000;0.0332;0.905799
21000;0.039;0.987708
21000;0.0448;1.06096
21000;0.0506;1.12484
21000;0.0564;1.18145
21000;0.0622;1.23228
21000;0.068;1.27841
21000;0.0738;1.32065
21000;0.0796;1.35959
21000;0.0854;1.39573
21000;0.0912;1.42944
21000;0.097;1.46104
21000;0.1028;1.49076
21000;0.1086;1.51883
21000;0.1144;1.54543
21000;0.1202;1.57069
21000;0.126;1.59475
21000;0.1318;1.61772
21000;0.1376;1.63969
21000;0.1434;1.66076
21000;0.1492;1.68098
21000;0.155;1.70043
21000;0.1608;1.71917
21000;0.1666;1.73724
21000;0.1724;1.75469
21000;0.1782;1.77157
21000;0.184;1.78749
21000;0.1898;1.80216
21000;0.1956;1.81571
21000;0.2014;1.82826
21000;0.2072;1.83989
21000;0.213;1.85068
21000;0.2188;1.86073
21000;0.2246;1.87008
21000;0.2304;1.87881
21000;0.2362;1.88696
21000;0.242;1.89459
