LPRES.Altitude;Comb_Chamb.OF;Pump_FUEL_LH2.U;Pump_LOX_OXIDIZER.U;Comb_Chamb.p_out_ch;Comb_Chamb.M_r;Heat_exchanger_1.h.T;ThrustMonitor_1.M_out
0;12.72;438.015;108.858;2165.74;2.78082;167.04;4.93942
0;12.84;438.015;108.858;2160.56;2.78172;166.58;4.94361
0;12.96;438.015;108.858;2155.43;2.78261;166.125;4.94777
0;13.08;438.015;108.858;2150.34;2.78349;165.676;4.95191
0;13.2;438.015;108.858;2145.3;2.78437;165.233;4.95602
0;13.32;438.015;108.858;2140.3;2.78525;164.796;4.96012
0;13.44;438.015;108.858;2135.34;2.78612;164.364;4.96419
0;13.56;438.015;108.858;2130.43;2.78698;163.937;4.96824
0;13.68;438.015;108.858;2125.56;2.78784;163.516;4.97227
0;13.8;438.015;108.858;2120.73;2.78869;163.1;4.97628
0;13.92;438.015;108.858;2115.94;2.78954;162.689;4.98027
0;14.04;438.015;108.858;2111.19;2.79038;162.284;4.98423
0;14.16;438.015;108.858;2106.49;2.79122;161.883;4.98818
0;14.28;438.015;108.858;2101.82;2.79205;161.487;4.9921
0;14.4;438.015;108.858;2097.19;2.79288;161.095;4.99601
0;14.52;438.015;108.858;2092.61;2.79371;160.709;4.99989
0;14.64;438.015;108.858;2088.06;2.79453;160.326;5.00375
0;14.76;438.015;108.858;2083.54;2.79534;159.949;5.0076
0;14.88;438.015;108.858;2079.07;2.79615;159.575;5.01142
0;15;438.015;108.858;2074.63;2.79695;159.206;5.01523
100000;3;438.015;108.858;1641.96;2.8868;156.749;5.45568
100000;3.12;438.015;108.858;1664.11;2.88156;157.978;5.42912
100000;3.24;438.015;108.858;1686.05;2.87644;159.171;5.40331
100000;3.36;438.015;108.858;1707.81;2.87145;160.333;5.37821
100000;3.48;438.015;108.858;1729.37;2.86657;161.463;5.3538
100000;3.6;438.015;108.858;1750.74;2.86181;162.565;5.33003
100000;3.72;438.015;108.858;1771.92;2.85715;163.64;5.3069
100000;3.84;438.015;108.858;1792.9;2.8526;164.69;5.28437
100000;3.96;438.015;108.858;1813.7;2.84816;165.715;5.26242
100000;4.08;438.015;108.858;1834.31;2.84381;166.719;5.24103
100000;4.2;438.015;108.858;1854.74;2.83955;167.701;5.22019
100000;4.32;438.015;108.858;1874.98;2.83539;168.662;5.19986
100000;4.44;438.015;108.858;1895.03;2.83132;169.605;5.18003
100000;4.56;438.015;108.858;1914.9;2.82733;170.529;5.16068
100000;4.68;438.015;108.858;1934.6;2.82343;171.436;5.1418
100000;4.8;438.015;108.858;1954.11;2.81961;172.327;5.12337
100000;4.92;438.015;108.858;1973.44;2.81587;173.202;5.10537
100000;5.04;438.015;108.858;1992.6;2.8122;174.061;5.08779
100000;5.16;438.015;108.858;2011.58;2.80861;174.907;5.07061
100000;5.28;438.015;108.858;2030.39;2.80509;175.739;5.05382
100000;5.4;438.015;108.858;2049.03;2.80164;176.557;5.03741
100000;5.52;438.015;108.858;2067.5;2.79825;177.363;5.02137
100000;5.64;438.015;108.858;2085.79;2.79493;178.157;5.00568
100000;5.76;438.015;108.858;2103.93;2.79168;178.94;4.99033
100000;5.88;438.015;108.858;2121.89;2.78848;179.711;4.97531
100000;6;438.015;108.858;2139.69;2.78535;180.471;4.96061
100000;6.12;438.015;108.858;2157.33;2.78228;181.222;4.94622
100000;6.24;438.015;108.858;2174.81;2.77926;181.962;4.93213
