Comb_Chamb.f_O.p_c;Comb_Chamb.AR
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
3.67e+006;110
