Comb_Chamb.f_O.p_c;Comb_Chamb.AR;Pump_FUEL_LH2.U;Pump_LOX_OXIDIZER.U;Comb_Chamb.p_out_ch;Comb_Chamb.M_r;Contact_Wall_1.A_wet;ThrustMonitor_1.M_out
7e+006;10;438.015;108.858;87021.1;2.79061;0.691115;3.28723
7e+006;12.5;438.015;108.858;64824;2.79061;0.691115;3.44362
7e+006;15;438.015;108.858;51055.3;2.79061;0.691115;3.57089
7e+006;17.5;438.015;108.858;41769.6;2.79061;0.691115;3.67834
7e+006;20;438.015;108.858;35129.4;2.79061;0.691115;3.7714
7e+006;22.5;438.015;108.858;30170.5;2.79061;0.691115;3.85355
7e+006;25;438.015;108.858;26341.3;2.79061;0.691115;3.92711
7e+006;27.5;438.015;108.858;23304.9;2.79061;0.691115;3.99376
7e+006;30;438.015;108.858;20844.5;2.79061;0.691115;4.0547
7e+006;32.5;438.015;108.858;18814.8;2.79061;0.691115;4.11086
7e+006;35;438.015;108.858;17115;2.79061;0.691115;4.16295
7e+006;37.5;438.015;108.858;15672.8;2.79061;0.691115;4.21153
7e+006;40;438.015;108.858;14435.6;2.79061;0.691115;4.25706
7e+006;42.5;438.015;108.858;13363.7;2.79061;0.691115;4.29991
7e+006;45;438.015;108.858;12427.2;2.79061;0.691115;4.34038
7e+006;47.5;438.015;108.858;11602.6;2.79061;0.691115;4.37874
7e+006;50;438.015;108.858;10871.5;2.79061;0.691115;4.41519
7e+006;52.5;438.015;108.858;10219.5;2.79061;0.691115;4.44993
7e+006;55;438.015;108.858;9634.8;2.79061;0.691115;4.4831
8e+006;5;438.015;108.858;253562;2.79061;0.624049;2.79061
8e+006;7.5;438.015;108.858;146009;2.79061;0.624049;3.08376
8e+006;10;438.015;108.858;99452.7;2.79061;0.624049;3.28723
8e+006;12.5;438.015;108.858;74084.5;2.79061;0.624049;3.44362
8e+006;15;438.015;108.858;58348.9;2.79061;0.624049;3.57089
8e+006;17.5;438.015;108.858;47736.7;2.79061;0.624049;3.67834
8e+006;20;438.015;108.858;40147.9;2.79061;0.624049;3.7714
8e+006;22.5;438.015;108.858;34480.6;2.79061;0.624049;3.85355
8e+006;25;438.015;108.858;30104.3;2.79061;0.624049;3.92711
8e+006;27.5;438.015;108.858;26634.1;2.79061;0.624049;3.99376
8e+006;30;438.015;108.858;23822.3;2.79061;0.624049;4.0547
8e+006;32.5;438.015;108.858;21502.7;2.79061;0.624049;4.11086
8e+006;35;438.015;108.858;19560;2.79061;0.624049;4.16295
8e+006;37.5;438.015;108.858;17911.8;2.79061;0.624049;4.21153
8e+006;40;438.015;108.858;16497.8;2.79061;0.624049;4.25706
8e+006;42.5;438.015;108.858;15272.9;2.79061;0.624049;4.29991
8e+006;45;438.015;108.858;14202.5;2.79061;0.624049;4.34038
8e+006;47.5;438.015;108.858;13260.1;2.79061;0.624049;4.37874
8e+006;50;438.015;108.858;12424.6;2.79061;0.624049;4.41519
8e+006;52.5;438.015;108.858;11679.5;2.79061;0.624049;4.44993
8e+006;55;438.015;108.858;11011.2;2.79061;0.624049;4.4831
